"Facility Name";"Site Address";"Zip";"City";"County";"State";"Phone";"Facility Type";"License Type";"Expiration Date";"Administrator";"Business Hours";"Business Days";"Capacity";"Ages";"Inspector";"Provider ID";"Subsidy";"Address 2";"Quality Level";"Qualification";"License/Facility ID#";"Registration Duration"
"Jacqueline Strand";"15988 Deer Drive";23414;"Nelsonia";"Accomack";"VA";"(757) 894-1152";"Voluntary Registration";;"Oct. 17, 2025";;"6:00 am - 9:00 pm";"Monday - Saturday";4;"1 year - 5 years 11 months";"Kimberly Sampson: (757) 354-7307";50024;"No";;;;5765;"Two Year"
"Ms. Deborah Clark";"27123 Seaside Park";23421;"Parksley";"Accomack";"VA";"(757) 894-3200";"Voluntary Registration";;"March 6, 2024";;"5:00 A.M. - 3:00 A.M. (hours varies)";"Monday - Friday";4;"Birth - 12 years 11 months";"Arlene Agustin: (804) 629-7519";37142;"No";;;;3698;"Two Year"
"Ms. Tamekia Veney";"13163 Bethel Church";23359;"Hallwood";"Accomack";"VA";"(757) 693-2544";"Voluntary Registration";;"May 23, 2025";;"6:00 a.m. - 11:59 p.m.";"Monday - Sunday";4;;"Kimberly Sampson: (757) 354-7307";36152;"Yes";;;;3398;"Two Year"
"ACAC Adventure Central Kidzclub";"200 Four Seasons Drive";22901;"Charlottesville";"Albemarle";"VA";"(434) 978-7529";"Child Day Center";"Two Year";"Oct. 7, 2024";"Ms. Ashlie Crouch";"7:30 a.m. - 6:00 p.m.";"Monday - Friday";330;"3 years - 12 years 11 months";"Michelle Argenbright: (540) 848-4123";25255;"No";;;;1087529;
"ACAC Crozet Park";"1075 Claudius Crozet Park";22932;"Crozet";"Albemarle";"VA";"(434) 817-2063";"Child Day Center";"Two Year";"Dec. 7, 2024";"Mason Thompson";"7:30 AM - 6:00 PM";"Monday - Friday";70;"4 years - 12 years 11 months";"Michelle Argenbright: (540) 848-4123";46084;"No";;;;1108771;
"Albemarle Montessori Children's Community";"1550-1562 Insurance Lane";22911;"Charlottesville";"Albemarle";"VA";"(434) 244-2471";"Child Day Center";"Two Year";"Aug. 3, 2025";"Adrian Herr";"7:15 a.m. - 5:45 p.m.";"Monday - Friday";138;"1 year 6 months - 12 years 11 months";"Beth Orebaugh: (540) 847-9173";40461;"No";;;;1107536;
"Alison Trimpe";"3157 Earlysville Road";22936;"Earlysville";"Albemarle";"VA";"(434) 973-8736";"Family Day Home";"Three Year";"Sept. 20, 2026";;"8:45 AM - 12:00 PM";"Monday - Friday";12;"2 years - 12 years 11 months";"Beth Orebaugh: (540) 847-9173";41699;"No";;;;1109017;
"Boar's Head Child Care";"200 Wellington Drive";22903;"Charlottesville";"Albemarle";"VA";"(434) 972-6072";"Child Day Center";"Two Year";"Aug. 12, 2024";"Ms. Carol Rollins";"8:30 a.m. - 5:30 p.m.";"Monday - Saturday";40;"1 month - 12 years 11 months";"Michelle Argenbright: (540) 848-4123";24577;"No";;;;1078601;
"Bright Beginnings - Crozet";"1645 Park Ridge Drive";22932;"Crozet";"Albemarle";"VA";"(434) 823-7129";"Child Day Center";"Two Year";"Aug. 28, 2025";"Ms. Emily Mais";"7:00 a.m. - 6:00 p.m.";"Monday - Friday";141;"1 month - 12 years 11 months";"Michelle Argenbright: (540) 848-4123";24081;"Yes";;;;1072441;
"Bright Beginnings Preschool - Forest Lakes";"1610 Regent Street";22911;"Charlottesville";"Albemarle";"VA";"(434) 973-8414";"Child Day Center";"Two Year";"Sept. 19, 2023";"Brittnay Collins";"7:00 a.m. - 6:00 p.m.";"Monday - Friday";120;"1 month - 12 years 11 months";"Kelly Adriazola: (804) 840-8245";21474;"Yes";;;;1018179;
"Bright Beginnings Preschool - Mill Creek";"1221 Stoney Ridge Road";22902;"Charlottesville";"Albemarle";"VA";"(434) 979-8585";"Child Day Center";"Two Year";"Aug. 25, 2023";"Ms. Kathe Petchel";"7:00 a.m. - 6:00 p.m.";"Monday - Friday";142;"1 month - 12 years 11 months";"Michelle Argenbright: (540) 848-4123";19398;"Yes";;;;952331;
"Bright Eyes Community Child Care Center, LLC";"2320 Hunters Way";22911;"Charlottesville";"Albemarle";"VA";"(434) 984-4150";"Child Day Center";"Two Year";"Oct. 2, 2024";"Ms. Reagan Ralston";"7:00 a.m. - 6:00 p.m.";"Monday - Friday";61;"Birth - 10 years 11 months";"Michelle Argenbright: (540) 848-4123";40338;"Yes";;;;1107512;
"Chancellor Street Pre-school";"1901 Thomson Road";22903;"Charlottesville";"Albemarle";"VA";"(434) 296-6444";"Child Day Center";"Two Year";"May 5, 2024";"Ms. Heather Swindler";"8:45 a.m. - 11:45 a.m.";"Monday - Friday";26;"2 years 8 months - 5 years 11 months";"Michelle Argenbright: (540) 848-4123";15742;"No";;;;828687;
"Charlottesville Waldorf School";"120 Waldorf School Road";22901;"Charlottesville";"Albemarle";"VA";"(434) 973-4946";"Child Day Center";"Two Year";"May 12, 2024";"Ms. Amanda Tipton";"7:00 a.m. - 5:30 p.m.";"Monday - Friday";55;"2 years - 12 years 11 months";"Kelly Adriazola: (804) 840-8245";34538;"No";;;;1106188;
"Covesville Child Development Center";"5527 Covesville Lane";22931;"Covesville";"Albemarle";"VA";"(434) 245-9133";"Child Day Center";"Two Year";"April 4, 2025";"Ms. Katherine Cashatt";"7:00 a.m. - 5:00 p.m.";"Monday - Friday";25;"1 year 4 months - 7 years 11 months";"Beth Orebaugh: (540) 847-9173";25231;"Yes";;;;1087235;
"Crozet Avenue Christian Preschool";"1156 Crozet Avenue";22932;"Crozet";"Albemarle";"VA";"(434) 400-9227";"Child Day Center";"Conditional";"Feb. 1, 2024";"Krista Campbell";"8:15 AM - 1:00 PM";"Monday - Friday";50;"2 years 6 months - 6 years 11 months";"Barbara Workman: (540) 430-9257";49793;"No";" Suite #3130";;;1109549;
"Daylily Preschool, LLC";"4297 Old Three Notch'd Road";22901;"Charlottesville";"Albemarle";"VA";"(434) 996-8397";"Child Day Center";"Two Year";"Nov. 16, 2024";"Ms. Elizabeth Claman";"8:30 a.m. - 3:30 p.m.";"Monday - Friday";35;"2 years - 12 years 11 months";"Beth Orebaugh: (540) 847-9173";36528;"No";;;;1106585;
"Farmington Country Club";"1625 Country Club Circle";22901;"Charlottesville";"Albemarle";"VA";"(434) 245-0692";"Short Term Child Day Center";"Two Year";"July 14, 2023";"Mr. Paul Shockley";"9:00 a.m. - 5:00 p.m.";"Monday - Friday";50;"4 years - 12 years";"Beth Orebaugh: (540) 847-9173";36163;"No";;;;1097934;
"Foundations Child Development Center, Inc.";"3375 Berkmar Drive";22901;"Charlottesville";"Albemarle";"VA";"(434) 973-9218";"Child Day Center";"Two Year";"Nov. 4, 2023";"Sara Parkins";"7:00 a.m. - 6:00 p.m.";"Monday - Friday";110;"1 month - 12 years 11 months";"Michelle Argenbright: (540) 848-4123";31233;"Yes";;;;1105590;
"Four Seasons Learning Center";"254 Lakeview Drive";22901;"Charlottesville";"Albemarle";"VA";"(434) 975-4455";"Child Day Center";"Two Year";"Dec. 29, 2024";"Laurie Harris";"7:00 AM - 6:00 PM";"Monday - Friday";60;"1 month - 12 years 11 months";"Julie Kunowsky: (540) 430-9256";44458;"Yes";;;;1108368;
"Free Union Country School";"4220 Free Union Road";22940;"Free union";"Albemarle";"VA";"(434) 978-1700";"Child Day Center";"Two Year";"Sept. 12, 2023";"Camilla Tolton";"7:45 a.m. - 5:30 p.m.";"Monday - Friday";30;"2 years 6 months - 11 years 11 months";"Kelly Adriazola: (804) 840-8245";9096;"No";;;;236265;
"Generations Montessori School of Charlottesville, LLC";"1525 Stony Point Road";22911;"Charlottesville";"Albemarle";"VA";"(434) 422-8161";"Child Day Center";"Two Year";"Jan. 10, 2025";"Ms. Rita C Pace";"8:00 a.m. - 5:00 p.m.";"Monday - Friday";42;"2 months - 12 years 11 months";"Beth Orebaugh: (540) 847-9173";41871;"No";;;;1107940;
"Generations Montessori School of Scottsville, LLC";"225 West Main Street";24590;"Scottsville";"Albemarle";"VA";"(434) 286-2711";"Child Day Center";"Conditional";"Feb. 28, 2024";"Pace Christina";"8:30 AM - 5:00 PM";"Monday - Friday";40;"11 months - 12 years 11 months";"Barbara Workman: (540) 430-9257";49998;"No";;;;1109586;
"Hannah Anokye-Gyambrah";"504 Berwick Court";22901;"Charlottesville";"Albemarle";"VA";"(434) 327-7205";"Family Day Home";"One Year";"Sept. 1, 2024";;"8:00 AM - 8:00 PM";"Monday - Friday";12;"3 months - 12 years 11 months";"Barbara Workman: (540) 430-9257";46917;"No";;;;1110123;
"Hillsdale KinderCare Learning Center";"601 Hillsdale Drive";22901;"Charlottesville";"Albemarle";"VA";"(434) 973-2777";"Child Day Center";"Two Year";"April 23, 2024";"Pamela Carter-Barmore";"6:30 AM - 6:30 PM";"Monday - Friday";120;"1 month - 5 years 11 months";"Stephanie Reed: (540) 272-6558";45774;"Yes";;;;1108702;
"Little Explorers Discovery School LLC";"5804 St. George Avenue";22932;"Crozet";"Albemarle";"VA";"(434) 205-4177";"Child Day Center";"Two Year";"July 8, 2025";"Christi Gillette";"8:00 a.m. - 5:30 p.m.";"Monday - Friday";50;"1 year 6 months - 12 years 11 months";"Barbara Workman: (540) 430-9257";45007;"No";;;;1108522;
"Little Explorers Discovery School, LLC";"5762 Tabor Street";22932;"Crozet";"Albemarle";"VA";"(434) 205-4177";"Child Day Center";"Two Year";"Feb. 1, 2025";"Ms. Christi Gillette";"8:00 AM - 5:30 PM";"Monday - Friday";50;"1 month - 12 years 11 months";"Julie Kunowsky: (540) 430-9256";48250;"No";;;;1109286;
"Little Learners Tricounty Child Development Center";"900 Glendower Road";24590;"Scottsville";"Albemarle";"VA";"(434) 286-8888";"Child Day Center";"Two Year";"Feb. 22, 2025";"Ms. Taryn Evans";"6:30 a.m. - 6:00 p.m.";"Monday - Friday";32;"1 month - 6 years 11 months";"Beth Orebaugh: (540) 847-9173";42014;"Yes";;;;1107965;
"Millstone of Ivy";"3275 Morgantown Road";22903;"Charlottesville";"Albemarle";"VA";"(434) 979-2111";"Child Day Center";"Two Year";"March 2, 2024";"Ms. Robin Willis Myers";"7:30 a.m. - 5:30 p.m.";"Monday - Friday";93;"2 years - 6 years 11 months";"Michelle Argenbright: (540) 848-4123";14086;"No";;;;730381;
"Monticello Area Community Action Agency - Agnor Hurt";"3201 Berkmar Drive";22901;"Charlottesville";"Albemarle";"VA";"(434) 974-4783";"Child Day Center";"Two Year";"Feb. 23, 2025";"Ms. Barbara J. Smith";"7:40 a.m. - 2:30 p.m.";"Monday - Friday";20;"3 years - 5 years 11 months";"Amy Tomblin: (804) 629-3923";16128;"No";;;;845662;
"Monticello Area Community Action Agency - Crozet";"1407 Crozet Avenue";22932;"Crozet";"Albemarle";"VA";"(434) 823-4800";"Child Day Center";"Two Year";"Oct. 27, 2023";"Monira Hossain";"7:00 A.M. - 3:30 P.M.";"Monday - Friday";20;"3 years - 5 years 11 months";"Kelly Adriazola: (804) 840-8245";27736;"No";;;;1105135;
"Monticello Area Community Action Agency - Greer";"190 Lambs Lane";22901;"Charlottesville";"Albemarle";"VA";"(434) 978-3469";"Child Day Center";"Two Year";"Feb. 28, 2025";"Barbara Smith";"7:40a.m. - 2:20p.m.";"Monday - Friday";20;"3 years - 5 years 11 months";"Amy Tomblin: (804) 629-3923";44752;"No";;;;1108452;
"Monticello Area Community Action Agency - Hollymead Head Start";"2775 Powell Creek Drive";22911;"Charlottesville";"Albemarle";"VA";"(434) 973-8301";"Child Day Center";"Two Year";"March 1, 2024";"Ms. Barbara J. Smith";"8:00 a.m. - 3:00 p.m.";"Monday - Friday";40;"3 years - 5 years 11 months";"Beth Orebaugh: (540) 847-9173";39988;"No";;;;1107426;
"Mountaintop Montessori";"440 Pinnacle Place";22911;"Charlottesville";"Albemarle";"VA";"(434) 979-8886";"Child Day Center";"Two Year";"Oct. 13, 2024";"Mrs. Janice Chapman";"7:30 a.m. - 5:30 p.m.";"Monday - Friday";140;"2 months - 12 years 11 months";"Julie Kunowsky: (540) 430-9256";13992;"No";;;;723890;
"Ms. Mozhdeh Monjezi";"1658 Old Brook Road";22901;"Charlottesville";"Albemarle";"VA";"(434) 409-6465";"Family Day Home";"Two Year";"July 16, 2024";;"7:30 a.m. - 5:30 p.m.";"Monday - Friday";12;"Birth - 12 years 11 months";"Amy Tomblin: (804) 629-3923";31963;"No";;;;1106399;
"Ms. Rebecca Garson";"7342 Plank Road";22920;"Afton";"Albemarle";"VA";"(434) 996-7022";"Family Day Home";"Two Year";"Feb. 28, 2025";;"8:30 a.m. - 3:00 p.m.";"Monday - Friday";12;"Birth - 12 years 11 months";"Stephanie Reed: (540) 272-6558";42080;"No";;;;1109185;
"Ms. Sabrina Wilson";"1808-B Solomon Road";22901;"Charlottesville";"Albemarle";"VA";"(434) 382-7971";"Family Day Home";"One Year";"Nov. 18, 2024";;"5:00 AM - 6:30 PM";"Monday to Saturday";12;"1 month - 7 years 11 months";"Michelle Argenbright: (540) 848-4123";41556;"Yes";;;;1108974;
"Old Dominion Day School";"74 Barclay Place Court";22901;"Charlottesville";"Albemarle";"VA";"(434) 984-1070";"Child Day Center";"Two Year";"Nov. 15, 2023";"Ms. Theresa Zick";"7:30 a.m. - 4:30 p.m.";"Monday - Friday";75;"1 month - 6 years 11 months";"Amy Tomblin: (804) 629-3923";7998;"No";;;;965;
"Peabody School";"1232 Stoney Ridge Road";22902;"Charlottesville";"Albemarle";"VA";"(434) 296-6901";"Child Day Center";"Two Year";"March 27, 2025";"Mr. Robert Orlando";"3:15 p.m. - 5:30 p.m.";"Monday - Friday";10;"3 years - 5 years 11 months";"Michelle Argenbright: (540) 848-4123";20454;"No";;;;985662;
"Piedmont Family YMCA - Burnley-Moran Elementary School";"1300 Long Street";22901;"Charlottesville";"Albemarle";"VA";"(434) 282-4266";"Child Day Center";"Two Year";"Feb. 24, 2024";"Bonita Patton";"7:30 AM - 6:00 PM";"Monday - Friday";200;"5 years - 12 years 11 months";"Amy Tomblin: (804) 629-3923";47409;"Yes";;;"Program Located in a Public School";1109132;
"Piedmont Family YMCA @ Greenbrier Elementary";"2228 Greenbrier Drive";22901;"Charlottesville";"Albemarle";"VA";"(434) 282-4425";"Child Day Center";"Two Year";"Dec. 13, 2023";"Ms. Missy Corbin";"6:00 AM - 6:00 PM";"Monday - Friday";200;"5 years - 12 years 11 months";"Michelle Argenbright: (540) 848-4123";47111;"Yes";;;"Program Located in a Public School";1109035;
"Playful Learners Preschool";"325 Rivanna Plaza Drive";22901;"Charlottesville";"Albemarle";"VA";"(434) 956-4312";"Child Day Center";"Two Year";"March 15, 2024";"Tassia Araujo-Roper";"7:00 AM - 6:00 PM";"Monday - Friday";180;"1 month - 12 years 11 months";"Julie Kunowsky: (540) 430-9256";45670;"Yes";" Suite 101";;;1108684;
"Preschool at ACAC Adventure Central";"200 Four Seasons Drive";22901;"Charlottesville";"Albemarle";"VA";"(434) 978-7529";"Child Day Center";"Two Year";"March 5, 2024";"Ms. Lauren Tucker";"7:30 a.m. - 5:30 p.m.";"Monday - Friday";130;"2 years - 6 years 11 months";"Michelle Argenbright: (540) 848-4123";38328;"No";;;;1106988;
"Rita's Bright Beginnings";"1625 Rio Road E";22901;"Charlottesville";"Albemarle";"VA";"(434) 249-7429";"Child Day Center";"Conditional";"Oct. 26, 2023";"Karita Burrill";"6:30 AM - 5:30 PM";"Monday - Friday";40;"1 month - 4 years 11 months";"Kelly Adriazola: (804) 840-8245";49298;"Yes";;;;1109465;
"Riverbend KinderCare Learning Center";"201 Riverbend Drive";22911;"Charlottesville";"Albemarle";"VA";"(434) 295-8569";"Child Day Center";"Two Year";"April 23, 2024";"Ms. Jayme Wilkinson";"7:00 AM - 6:00 PM";"Monday - Friday";120;"1 month - 6 years 11 months";"Michelle Argenbright: (540) 848-4123";45773;"Yes";;;;1108701;
"Sharon L. Hostler Child Development Center";"107 Whitewood Road";22901;"Charlottesville";"Albemarle";"VA";"(434) 951-2060";"Child Day Center";"Two Year";"May 17, 2024";"Ms. Jordan Bucknam";"6:00 AM - 6:00 PM";"Monday - Friday";152;"1 month - 12 years 11 months";"Stephanie Reed: (540) 272-6558";39996;"No";;;;1107429;
"St. Anne's-Belfield, Inc.";"745 Faulconer Drive";22903;"Charlottesville";"Albemarle";"VA";"(434) 963-4858";"Child Day Center";"Two Year";"Oct. 26, 2024";"Ms. Katherine Carpenter";"7:30 a.m. - 5:30 p.m.";"Monday - Friday";110;"2 years - 6 years 11 months";"Beth Orebaugh: (540) 847-9173";8201;"No";;;;7030;
"Tamyon Williams";"1719 Wickham Way";22901;"Charlottesville";"Albemarle";"VA";"(434) 270-6700";"Family Day Home";"Two Year";"July 25, 2024";;"6:30 AM - 5:00 PM";"Monday - Friday";12;"1 month - 10 years 11 months";"Michelle Argenbright: (540) 848-4123";47601;"Yes";;;;1110242;
"The Frost Montessori School of Albemarle";"1553 Delphi Drive";22911;"Charlottesville";"Albemarle";"VA";"(434) 979-5223";"Child Day Center";"Two Year";"Feb. 24, 2025";"Ms. Kedra Hauser";"8:00 a.m. - 5:30 p.m.";"Monday - Friday";99;"1 year 10 months - 6 years 11 months";"Kelly Adriazola: (804) 840-8245";32631;"No";;;;1105810;
"Wee Care Day Care 4 Kids, LLC";"1550-1552 Seminole Trail";22901;"Charlottesville";"Albemarle";"VA";"(434) 972-0001";"Child Day Center";"Two Year";"Aug. 28, 2024";"Ms. Theresa Michie";"7:00 a.m. - 6:00 p.m.";"Monday - Friday";65;"1 month - 12 years 11 months";"Barbara Workman: (540) 430-9257";36411;"Yes";;;;1106541;
"Aldersgate United Methodist Church";"1500 Rio Road East";22901;"Charlottesville";"Albemarle";"VA";"(434) 973-5806";"Religious Exempt Child Day Center";"Exempt";"Dec. 23, 2023";"Ms. Kristin Shaller";"9:00 AM - 12:00 PM";"Monday - Friday";10;"3 years - 5 years 11 months";"Michelle Argenbright: (540) 848-4123";46900;"No";;;;1106050;
"Amber Jackson";"835 Fountain Court";22901;"Charlottesville";"Albemarle";"VA";"(804) 613-9854";"Voluntary Registration";;"Oct. 1, 2024";;"6:00am - 11:30 p.m.";"Monday - Friday";4;;"Barbara Workman: (540) 430-9257";44855;"Yes";" Apartment B";;;5456;"Two Year"
"Charlottesville Catholic School";"1205 Pen Park Road";22901;"Charlottesville";"Albemarle";"VA";"(434) 964-0400";"Religious Exempt Child Day Center";"Exempt";"March 19, 2024";"Ms. Lauren Devane";"7:45 a.m. - 5:30 p.m.";"Monday - Friday";75;"4 years - 12 years 11 months";"Barbara Workman: (540) 430-9257";35994;"No";;;;1105285;
"Chestnut Grove Baptist Church";"550 Buck Mountain Road";22936;"Earlysville";"Albemarle";"VA";"(434) 978-3819";"Religious Exempt Child Day Center";"Exempt";"Oct. 30, 2024";"Ms. Sarah Albrecht";"8:00 AM - 2:00 PM";"Monday - Friday";50;"3 years - 6 years 11 months";"Michelle Argenbright: (540) 848-4123";17041;"No";;;;872813;
"Commonwealth Christian Community";"1447 McAllister Street";22932;"Crozet";"Albemarle";"VA";"(434) 823-4469";"Religious Exempt Child Day Center";"Exempt";"June 29, 2023";"Ms. Annie Hollifield";"7:00am - 6:00pm";"Monday - Friday";35;"5 years - 12 years 11 months";"Julie Kunowsky: (540) 430-9256";32918;"No";;;;1105056;
"Faith Christian Center International";"2186 Richmond Road";22911;"Charlottesville";"Albemarle";"VA";"(434) 979-1704";"Religious Exempt Child Day Center";"Exempt";"Aug. 11, 2024";"Ms. Dawn Dawson";"6:30 a.m. - 6:00 p.m.";"Monday - Friday";120;"Birth - 12 years 11 months";"Michelle Argenbright: (540) 848-4123";31614;"Yes";;;;1104970;
"Hillsboro Baptist Church";"6356 Hillsboro Lane";22932;"Crozet";"Albemarle";"VA";"(434) 823-5342";"Religious Exempt Child Day Center";"Exempt";"Sept. 4, 2024";"Ms. Amy Jeffries";"9:00 AM - 2:00 PM";"Monday - Friday";60;"2 years 6 months - 6 years 11 months";"Michelle Argenbright: (540) 848-4123";28148;"No";;;;1104843;
"Illuminee Nzeyimana";"2738 White Pine Way";22911;"Charlottesville";"Albemarle";"VA";"(434) 260-2106";"Voluntary Registration";;"Aug. 18, 2024";;"all shifts";"Monday - Saturday";4;;"Nicole Jeffress: (804) 773-1847";46514;"No";;;;5586;"Two Year"
"Lighthouse Worship Center, Inc.";"3464 Worth Crossing";22911;"Charlottesville";"Albemarle";"VA";"(434) 973-7557";"Religious Exempt Child Day Center";"Exempt";"Feb. 10, 2024";"Ms. Kathy Davis";"7:00 a.m. - 6:00 p.m.";"Monday - Friday";70;"1 month - 4 years 11 months";"Michelle Argenbright: (540) 848-4123";29057;"No";;;;1104877;
"Northridge Community Church";"5100 Dickerson Road";22911;"Charlottesville";"Albemarle";"VA";"(434) 964-1560";"Religious Exempt Child Day Center";"Exempt";"Aug. 21, 2023";"Ms. Debbie Swanson";"7:30 AM - 4:30 PM";"Monday - Friday";80;"3 years - 5 years 11 months";"Michelle Argenbright: (540) 848-4123";34361;"No";;;;1105157;
"Olivet Presbyterian Church";"2575 Garth Road";22901;"Charlottesville";"Albemarle";"VA";"(434) 295-1367";"Religious Exempt Child Day Center";"Exempt";"Sept. 7, 2024";"Ms. Betsy Grinnell";"8:50 AM - 2:00 PM";"Monday - Friday";24;"1 year 6 months - 6 years 11 months";"Michelle Argenbright: (540) 848-4123";44060;"No";;;;1105878;
"Restoration Church UMC";"5145 Dickerson Road";22911;"Charlottesville";"Albemarle";"VA";"(434) 973-9077";"Religious Exempt Child Day Center";"Exempt";"March 27, 2024";"Ms. Charissa Gravley";"9:00 AM - 12:00 PM";"Monday - Friday";40;"1 year - 5 years 11 months";"Michelle Argenbright: (540) 848-4123";41834;"No";;;;1105813;
"Scottsville United Methodist Church";"158 East Main Street";24590;"Scottsville";"Albemarle";"VA";"(434) 286-4736";"Religious Exempt Child Day Center";"Exempt";"Jan. 27, 2024";"Ms. Laura Mowbray";"9:00 AM - 12:00 PM";"Monday";13;"3 years - 5 years 11 months";"Michelle Argenbright: (540) 848-4123";45845;"No";;;;1105983;
"Sharonda Washington";"1645 Rio Hill Apt 102";22901;"Charlottesville";"Albemarle";"VA";"(434) 409-7831";"Voluntary Registration";;"Oct. 21, 2023";;"7:00 a.m. - 8:00 p.m.";"Monday - Friday";4;;"Nicole Jeffress: (804) 773-1847";47508;"No";;;;5660;"Two Year"
"Tokeya Crawford";"1418 Ricky Road Apt #B";22901;"Charlottesville";"Albemarle";"VA";"(434) 409-5432";"Voluntary Registration";;"Aug. 3, 2025";;"7:00 a.m. - 5:30 p.m.";"Monday - Friday";4;"1 year 16 months - 12 years 11 months";"Nicole Jeffress: (804) 773-1847";47252;"No";;;;5639;"Two Year"
"Trinity Presbyterian Church";"3101 Fontaine Avenue Extended";22903;"Charlottesville";"Albemarle";"VA";"(434) 977-3700";"Religious Exempt Child Day Center";"Exempt";"May 4, 2024";"Ms. Laurie Mitchell";"9:00 a.m. - 1:00 p.m.";"Monday - Thursday";50;"2 years 10 months - 5 years 6 months";"Michelle Argenbright: (540) 848-4123";18225;"No";;;;916580;
"Abracadabra Child Care & Development center";"700 Commonwealth Avenue";22301;"Alexandria";"Alexandria";"VA";"(703) 548-7796";"Child Day Center";"Two Year";"Jan. 28, 2024";"Ms. Courtney Robinson";"7:30am - 6:00pm";"Monday - Friday";86;"1 year 8 months - 8 years 11 months";"Nancy Radcliffe: (703) 268-3728";8712;"No";;;;48852;
"Alexandria Day Care LLC d.b.a. Tiera Encantada Ford";"4401 Ford Avenue";22302;"Alexandria";"Alexandria";"VA";"(571) 312-0185";"Child Day Center";"Two Year";"Dec. 6, 2024";"Melissa Swanston";"6:30 am - 6:00 pm";"Monday - Friday";178;"1 month - 6 years";"Eureka Nance: (703) 638-5968";47912;"No";" Suite 100";;;1109243;
