Provider ID;SSPS Provider Number;License ID;License Cert;Authority;Facility Type;License Type;License Status;Provider Name;Provider Name Label;Primary Contact;First Initial License Date;First Full License Date;License Anniversary Date;License Expires;Primary Phone;Email;Fax;Capacity;Ages;AgeFromMonths;AgeToMonths;Mail Addr1;Mail Addr2;Mail Addr3;Mail City;Mail State;Mail Zip;Physical Addr1;Physical Addr2;Physical Addr3;Physical City;Physical State;Physical Zip;Business Addr1;Business Addr2;Business Addr3;Business City;Business State;Business Zip;Label Addr1;Label Addr2;Label Addr3;Label City;Label State;Label Zip;County;Licensor;Office;Service Area;Lattitude;Longitude;Early Achievers Status;Referral Status
700701;90742;455381;Licensed;DEL;Center;Non-Expiring;Open;A Kids World LLC;A Kids World LLC;;7/25/2012;;11-Sep;;2538637316;;;35;12 months to 12 years;12;144;Cheryl Hickman;725 Narrow Street;;Sumner;WA;98390;Cheryl Hickman;725 Narrow Street;;Sumner;WA;98390;Cheryl Hickman;725 Narrow Street;;Sumner;WA;98390;Cheryl Hickman;725 Narrow Street;;Sumner;WA;98390;Pierce;Ed Manglona;Tacoma;Southwest;47.200742;-122.244336;Participating in Quality Improvement;Okay to refer
297283;627648;637778;Licensed;DEL;Center;Non-Expiring;Open;A PLACE FOR KIDS;A PLACE FOR KIDS;;1/1/2006;1/1/2006;1-Jan;;2064174865;apfkchildcare@yahoo.com;;80;1 month to 6 years;1;72;919 NE 185TH ST;;;SHORELINE;WA;98155;A PLACE FOR KIDS;919 NE 185TH ST;;SHORELINE;WA;98155;A PLACE FOR KIDS;919 NE 185TH ST;;SHORELINE;WA;98155;919 NE 185TH ST;;;SHORELINE;WA;98155;King;Kyla Scott;Bellevue;Northwest;47.7628897;-122.3193534;Participating in Quality Improvement;Okay to refer
698769;134880;529558;Licensed;DEL;Center;Non-Expiring;Open;A PLACE FOR KIDS EARLY CHILDHOOD ACADEMY;A PLACE FOR KIDS EARLY CHILDHOOD ACADEMY;;11/1/2012;10/30/2013;1-Nov;;4252524336;apfkchildcare@live.com;;43;1 month to 6 years;1;72;5101 WOODLAWN AVE;;;Everett;WA;98203;5101 WOODLAWN AVE;;;Everett;WA;98203;5101 WOODLAWN AVE;;;Everett;WA;98203;5101 WOODLAWN AVE;;;Everett;WA;98203;Snohomish;Frances Conrad;Everett;North Central;47.950715;-122.215257;Participating in Quality Improvement;Okay to refer
302401;747658;708724;Licensed;DEL;Center;Non-Expiring;Open;A STEP AHEAD BILINGUAL LLC;A STEP AHEAD BILINGUAL LEARNING CENTER INC.;;8/1/2006;8/1/2006;1-Aug;;3607560924;A_StepAhead@yahoo.com;;27;12 months to 6 years;12;72;1408 E SUNSET DR;;;BELLINGHAM;WA;98226;1408 E SUNSET DR;;;BELLINGHAM;WA;98226;1408 E SUNSET DRIVE;;;BELLINGHAM;WA;98226;1408 E SUNSET DR;;;BELLINGHAM;WA;98226;Whatcom;Gloria Trinidad;Bellingham;North Central;48.773093;-122.455043;Participating in Quality Improvement;Okay to refer
249225;289162;511592;Licensed;DEL;Center;Non-Expiring;Open;A WORLD DISCOVERY;A World Discovery Montessori School;;9/1/2004;9/1/2004;1-Sep;;4253553180;AWDMS1@GMAIL.COM;4252679525;54;2 years to 6 years;24;72;10814 7TH AVE SE;;;EVERETT;WA;98208;10814 7TH AVE SE;;;EVERETT;WA;98208;10814 7TH AVE SE;;;EVERETT;WA;98208;10814 7TH AVE SE;;;EVERETT;WA;98208;Snohomish;Diane Smith;Everett;North Central;47.899617;-122.223464;Not Participating;Okay to refer
730868;199335;664666;Licensed;DEL;Center;Non-Expiring;Open;ABC Early Learning Academy;ABC Early Learning Academy;;1/8/2013;4/23/2013;7-Jan;;5098865437;ABC_EarlyLearningAcademy@yahoo.com;;30;1 month to 7 years;1;84;520 Valley Mall Parkway;;;East Wenatchee;WA;98802;520 Valley Mall Parkway;;;East Wenatchee;WA;98802;520 Valley Mall Parkway;;;East Wenatchee;WA;98802;520 Valley Mall Parkway;;;East Wenatchee;WA;98802;Douglas;Eva Freimuth;Wenatchee;North Central;47.411056;-120.291907;Participating in Quality Improvement;Okay to refer
961183;770566;703666;Licensed;DEL;Center;Initial (1st);Open;ABC Early Learning Academy - Wenatchee;ABC Early Learning Academy - Wenatchee;;7/29/2015;;27-Jan;1/27/2016;5098815145;abc_earlylearningacademy@yahoo.com;;41;12 months to 7 years;12;84;200 Old Station Road;;;Wenatchee;WA;98801;200 Old Station Road;;;Wenatchee;WA;98801;200 Old Station Rd;;;Wenatchee;WA;98801;200 Old Station Road;;;Wenatchee;WA;98801;Chelan;Eva Freimuth;Wenatchee;North Central;47.4609681;-120.3300775;Not Participating;Okay to refer
568927;757283;521598;Licensed;DEL;Center;Non-Expiring;Open;ABC LEARNING CENTER - LYNNWOOD;ABC LEARNING CENTER - LYNNWOOD;;11/16/2010;11/15/2011;13-Nov;;4253617330;abclearningcenter@comcast.net;4253617672;80;1 month to 13 years;1;156;6815 196TH ST SW, SUITE C;;;Lynnwood;WA;98036;6815 196TH ST SW, SUITE C;;;Lynnwood;WA;98036;6815 196TH ST SW SUITE C;;;Lynnwood;WA;98036;6815 196TH ST SW, SUITE C;;;Lynnwood;WA;98036;Snohomish;Diane Smith;Everett;North Central;47.8217349;-122.325846;Participating in Quality Improvement;Okay to refer
938216;764804;680705;Licensed;DEL;Center;Initial (1st);Open;ABC LEARNING CENTER - MARYSVILLE;ABC LEARNING CENTER - MARYSVILLE;;8/12/2015;;10-Feb;2/10/2016;3603227117;ABCMUKILTEO@FRONTIER.COM;;140;1 month to 13 years;1;156;9315 STATE STREET SUITE A;;;Marysville;WA;98270;9315 STATE STREET SUITE A;;;Marysville;WA;98270;9315 STATE STREET SUITE A;;;Marysville;WA;98270;9315 STATE STREET SUITE A;;;Marysville;WA;98270;Snohomish;Diane Smith;Everett;North Central;48.0804605;-122.1726806;Not Participating;Okay to refer
775989;321729;613687;Licensed;DEL;Center;Non-Expiring;Open;ABC LEARNING CENTER - MUKILTEO;ABC LEARNING CENTER - MUKILTEO;;9/9/2013;9/3/2014;8-Sep;;4252651300;abcmukilteo@frontier.com;4252651400;50;birth to 7 years 11 months;0;95;8601 MUKILTEO SPEEDWAY # 502;;;Mukilteo;WA;98275;8601 MUKILTEO SPEEDWAY # 502;;;Mukilteo;WA;98275;8601 MUKILTEO SPEEDWAY # 502;;;Mukilteo;WA;98275;8601 MUKILTEO SPEEDWAY # 502;;;Mukilteo;WA;98275;Snohomish;Diane Smith;Everett;North Central;47.9201309;-122.2998123;Participating in Quality Improvement;Okay to refer
953189;773467;695670;Licensed;DEL;Center;Initial (1st);Open;ABC LEARNING CENTER - SEATTLE HILL;ABC LEARNING CENTER - SEATTLE HILL;;8/12/2015;;10-Feb;2/10/2016;4253168999;ABCMillCreek@comcast.com;;97;1 month to 13 years;1;156;5006 132ND ST SE;;;Everett;WA;98208;5006 132ND ST SE;;;Everett;WA;98208;5006 132ND ST SE;;;Everett;WA;98208;5006 132ND ST SE;;;Everett;WA;98208;Snohomish;Diane Smith;Everett;North Central;47.8771755;-122.1647038;Not Participating;Okay to refer
144746;559826;601729;Licensed;DEL;Center;Non-Expiring;Open;ABC PRESCHOOL AND DAYCARE;ABC PRESCHOOL AND DAYCARE;;8/1/1993;8/1/1993;1-Aug;;5098826526;abcpreschool@embarqmail.com;;39;1 month to 12 years;1;144;PO BOX 644;;;GRANDVIEW;WA;98930;620 GRANDRIDGE ROAD;;;GRANDVIEW;WA;98930;620 GRANDRIDGE ROAD;;;GRANDVIEW;WA;98930;PO BOX 644;;;GRANDVIEW;WA;98930;Yakima;Alisha Burkett;Yakima;North Central;46.248501;-119.905431;Participating in Quality Improvement;Okay to refer
83807;832850;698653;Licensed;DEL;Center;Non-Expiring;Open;ABC-VILLE LEARNING CENTER;ABC-VILLE LEARNING CENTER;;12/27/1992;12/27/1992;26-Dec;;5099249642;abcville@yahoo.com;;60;13 months to 13 years;13;156;524 NORTH ARGONNE;;;SPOKANE;WA;99212;524 N ARGONNE ST;;;SPOKANE VALLEY;WA;99212;524 NORTH ARGONNE;;;SPOKANE;WA;99212;524 NORTH ARGONNE;;;SPOKANE;WA;99212;Spokane;Karen Cole;Spokane;East;47.662399;-117.282394;Not Participating;Okay to refer
288135;318892;568808;Licensed;DEL;Center;Non-Expiring;Open;Abundant Life Preschool & Daycare;Abundant Life Preschool & Daycare;;3/16/2005;3/16/2005;15-Mar;;3604050888;;3604798275;80;1 month to 6 years 11 months;1;83;5610 Kitsap Way;;;Bremerton;WA;98312;5610 Kitsap Way;;;Bremerton;WA;98312;5610 Kitsap Way;;;Bremerton;WA;98312;5610 Kitsap Way;;;Bremerton;WA;98312;Kitsap;Jody Hitchings;Tacoma;Southwest;47.574874;-122.688039;Participating in Quality Improvement;Okay to refer
306615;763998;698705;Certified;Government;Center;Non-Expiring;Open - Certified;AC DAVIS HIGH SCHOOL CC;AC DAVIS HIGH SCHOOL CC;;8/29/2006;8/29/2006;22-Jan;;5095732596;;;10;1 month to 4 years;1;48;104 N 4TH AVE;;;YAKIMA;WA;98902;212 S 6TH AVE;;;YAKIMA;WA;98902;212 S. 6th Ave.;;;Yakima;WA;98902;104 N 4TH AVE;;;YAKIMA;WA;98902;Yakima;Alisha Burkett;Yakima;North Central;46.596969;-120.516125;Participating in Quality Improvement;Okay to refer
712748;893004;588748;Licensed;DEL;Center;Non-Expiring;Open;ACAP Early Learning Center;ACAP Early Learning Center;;8/30/2012;8/30/2012;1-Jul;;2539390870;;;40;1 month to 12 years;1;144;Auburn Youth Resources;1000 Auburn Way South;;Auburn;WA;98002;100 N St SE;;;Auburn;WA;98002;100 N St SE;;;Auburn;WA;98002;Auburn Youth Resources;1000 Auburn Way South;;Auburn;WA;98002;King;Tom Burchard;Renton;Northwest;47.3075735;-122.2119593;Quality Level of Excellence;Okay to refer
77688;803413;532554;Licensed;DEL;Center;Non-Expiring;Open;Achievement Center Preschool & Daycare;Achievement Center Preschool & Daycare;;11/5/1989;11/5/1989;15-Nov;;2535653030;;;113;1 month to 10 years;1;120;2421 70th Avenue W;;;Tacoma;WA;98466;2421 70th Avenue W;;;Tacoma;WA;98466;2421 70th Avenue W;;;Tacoma;WA;98466;2421 70th Avenue W;;;Tacoma;WA;98466;Pierce;Ed Manglona;Tacoma;Southwest;47.23731;-122.529483;Not Participating;Okay to refer
221022;800314;520493;Licensed;DEL;Center;Non-Expiring;Open;ADNA CHILD CARE CENTER;ADNA CHILD CARE CENTER;;8/25/1999;8/25/1999;1-Sep;;3607484631;;;20;2 years 6 months to 12 years 11 months;30;155;PO BOX 1192;;;CHEHALIS;WA;98532;179 DIECKMAN ROAD;;;ADNA;WA;98522;179 DIECKMAN ROAD;;;ADNA;WA;98522;PO BOX 1192;;;CHEHALIS;WA;98532;Lewis;Mary O'Connor;Olympia;Southwest;46.6339881;-123.0602269;Participating in Quality Improvement;Okay to refer
663946;360271;460321;Licensed;DEL;Center;Non-Expiring;Open;Advent Lutheran Child Care Center;Advent Lutheran Child Care Center;;2/7/2012;2/7/2012;21-Oct;;5099280231;clccdirector@gmail.com;5098925219;101;1 month to 12 years;1;144;13009 E Broadway;;;Spokane Valley;WA;99216;13009 E Broadway;;;Spokane Valley;WA;99216;13009 E Broadway;;;Spokane Valley;WA;99216;13009 E Broadway;;;Spokane Valley;WA;99216;Spokane;Karen Cole;Spokane;East;47.664873;-117.229703;Quality Level of Excellence;Okay to refer
685010;585168;703671;Licensed;DEL;Center;Non-Expiring;Open;ADVENTURE KIDS PLAYCARE;ADVENTURE KIDS PLAYCARE;;8/6/2012;1/28/2014;5-Aug;;4254534444;bellevue@adventurekidsplaycare.com;;108;1 month to 13 years;1;156;1100 Bellevue Way NE Ste 1;;;Bellevue;WA;98004;1100 Bellevue Way NE Ste 1;;;Bellevue;WA;98004;1100 Bellevue Way NE Ste 1;;;Bellevue;WA;98004;1100 Bellevue Way NE Ste 1;;;Bellevue;WA;98004;King;Janelle Eason;Bellevue;Northwest;47.6201535;-122.2016907;Not Participating;Okay to refer
495972;549987;519548;Licensed;DEL;Center;Non-Expiring;Open;ADVENTURE KIDS PLAYCARE;ADVENTURE KIDS PLAYCARE;;8/30/2010;8/29/2011;29-Aug;;4253915358;issaquah@adventurekidsplaycare.com;;62;1 month to 12 years;1;144;MECUM CHILDCARE L.L.C.;775 NW GILMAN BLVD. C-3;;Issaquah;WA;98027;775 NW GILMAN BLVD. C-3;;;Issaquah;WA;98027;775 NW GILMAN BLVD. C-3;;;Issaquah;WA;98027;MECUM CHILDCARE L.L.C.;775 NW GILMAN BLVD. C-3;;Issaquah;WA;98027;King;Carol Artz;Bellevue;Northwest;47.542823;-122.05007;Not Participating;Okay to refer
223922;145647;628730;Licensed;DEL;Center;Non-Expiring;Open;ADVENTURES IN L;ADVENTURES IN L;;10/11/1999;10/11/1999;10-Oct;;3606870185;;;17;2 years 6 months to 8 years 11 months;30;107;10814 NE 189TH STREET;;;BATTLE GROUND;WA;98604;10814 NE 189TH STREET;;;BATTLE GROUND;WA;98604;10814 NE 189TH STREET;;;BATTLE GROUND;WA;98604;10814 NE 189TH STREET;;;BATTLE GROUND;WA;98604;Clark;Lecion Brogan;Vancouver;Southwest;45.7587537;-122.5609086;Not Participating;Okay to refer
190827;265812;426421;Licensed;DEL;Center;Non-Expiring;Open;Agape 2 Childcare Center;Agape 2 Childcare Center;;6/10/1997;6/10/1997;8-Jun;;2067835967;;;31;3 months to 3 years;3;36;Agape Infant Waddler Toddler YP;7737 24TH AVE NW;;SEATTLE;WA;98117;7737 24TH AVE NW;;;SEATTLE;WA;98117;Agape Infant Waddler Toddler YP;7737 24TH Ave NW;;SEATTLE;WA;98117;Agape Infant Waddler Toddler YP;7737 24TH AVE NW;;SEATTLE;WA;98117;King;Celestine Lanier-Mcclary;Renton;Northwest;47.68616;-122.387936;Participating in Quality Improvement;Okay to refer
206313;581519;507392;Licensed;DEL;Center;Non-Expiring;Open;Agape Preschool Center;Agape Preschool Center;;8/1/1998;8/1/1998;1-Aug;;2068162064;;;20;3 years 6 months to 6 years;42;72;7747 24TH Ave NW;;;SEATTLE;WA;98117;7747 24th Ave NW;;;SEATTLE;WA;98117;7747 24th Ave NW;;;SEATTLE;WA;98117;7747 24TH Ave NW;;;SEATTLE;WA;98117;King;Celestine Lanier-Mcclary;Renton;Northwest;47.686329;-122.387937;Participating in Quality Improvement;Okay to refer
151807;311067;524571;Licensed;DEL;Center;Non-Expiring;Open;Agape Unlimited;Koinonia Inn Childcare Center;;8/2/1995;8/2/1995;25-Oct;;3603731529;rrecord@agapekitsap.org;3603734051;10;1 month to 10 years;1;120;806 Bay Street;;;Port Orchard;WA;98366;Agape Unlimited;806 Bay Street;;Port Orchard;WA;98366;Agape Unlimited;5464 Kitsap Way;;Bremerton;WA;98312;806 Bay Street;;;Port Orchard;WA;98366;Kitsap;Sharon Bell;Tacoma;Southwest;47.5413366;-122.6358311;Not Participating;Okay to refer
732827;187362;522607;Licensed;DEL;Center;Non-Expiring;Open;Agape Unlimited Childcare;Agape' Unlimited Childcare;;3/19/2013;9/17/2013;18-Mar;;3603731529;rrecord@agapekitsap.org;3603734051;12;1 month to 12 years;1;144;4841 Auto Center Way;;Suite #101;Bremerton;WA;98312;4841 Auto Center Way;;Suite #101;Bremerton;WA;98312;4841 Auto Center Way;;Suite #101;Bremerton;WA;98312;4841 Auto Center Way;;Suite #101;Bremerton;WA;98312;Kitsap;Sharon Bell;Tacoma;Southwest;47.5624427;-122.6790938;Not Participating;Okay to refer
902237;695096;644727;Licensed;DEL;Center;Initial (1st);Open;Ages In Stages Childcare - Des Moines;Ages In Stages Childcare - Des Moines;;4/6/2015;;4-Oct;10/4/2015;2069102881;;;21;1 month to 2 years 5 months;1;29;22038 9TH AVE S;;;Des Moines;WA;98198;22038 9TH AVE S;;;Des Moines;WA;98198;22038 9TH AVE S;;;Des Moines;WA;98198;22038 9TH AVE S;;;Des Moines;WA;98198;King;Connie Acosta;Renton;Northwest;47.4037303;-122.3220232;Not Participating;Okay to refer
659002;598238;669699;Licensed;DEL;Center;Non-Expiring;Open;Ages in Stages Childcare II;Ages in Stages Childcare II;;4/10/2012;4/8/2013;6-Apr;;2064384650;;2067622420;34;1 month to 12 years;1;144;9461 Olson Place SW;;;Seattle;WA;98106;9461 Olson Place SW;;;Seattle;WA;98106;9461 Olson Place SW;;;Seattle;WA;98106;9461 Olson Place SW;;;Seattle;WA;98106;King;Tom Burchard;Renton;Northwest;47.518234;-122.339993;Participating in Quality Improvement;Okay to refer
288097;635049;668679;Licensed;DEL;Center;Non-Expiring;Open;AGES IN STAGES CHILDCARE LLC;AGES IN STAGES CHILDCARE LLC;;10/12/2004;1/13/2006;16-May;;2067625683;;2067622420;48;1 month to 12 years;1;144;8658 9TH AVE SW;;;Seattle;WA;981062513;8658 9TH AVE SW;;;SEATTLE;WA;981062513;8658 9TH AVE SW;;;SEATTLE;WA;98106;8658 9TH AVE SW;;;Seattle;WA;981062513;King;Tom Burchard;Renton;Northwest;47.524803;-122.346349;Quality Level of Excellence;Okay to refer
750046;261706;591662;Licensed;DEL;Center;Non-Expiring;Open;Ages In Stages Pre-K School Age;Ages In Stages Pre-K School Age;;6/21/2013;6/18/2014;18-Jun;;2066590174;;2067622420;31;birth to birth;0;0;8659 9th Ave SW;;;Seattle;WA;98106;8659 9th Ave SW;;;Seattle;WA;98106;8659 9th Ave SW;;;Seattle;WA;98106;8659 9th Ave SW;;;Seattle;WA;98106;King;Tom Burchard;Renton;Northwest;47.5248691;-122.3467463;Participating in Quality Improvement;Okay to refer
878232;568604;671718;Licensed;DEL;Center;Non-Expiring;Open;Aha Childcare and Family Learning Center;Aha Childcare and Family Learning Center;;11/7/2014;5/6/2015;6-Nov;;3605941445;;;39;2 years 6 months to 13 years;30;156;6173 Maureen Drive;;;Ferndale;WA;98248;1933 Main Street;;;Ferndale;WA;98248;6173 Maureen Drive;;;Ferndale;WA;98248;6173 Maureen Drive;;;Ferndale;WA;98248;Whatcom;Sheau-Pyng Li;Bellingham;North Central;48.844366;-122.586621;Participating in Quality Improvement;Okay to refer
325424;86552;584815;Licensed;DEL;Center;Non-Expiring;Open;Alice's Precious Jewels;Alice's Precious Jewels;;6/10/2008;6/8/2010;9-Jun;;2533835021;;2535728475;55;1 month to 12 years;1;144;3706 South Manitou Way;;;Tacoma;WA;98409;3706 S Manitou Way;;;Tacoma;WA;98409;3706 South Manitou Way;;;Tacoma;WA;98409;3706 South Manitou Way;;;Tacoma;WA;98409;Pierce;Ed Manglona;Tacoma;Southwest;47.224549;-122.492564;Participating in Quality Improvement;Okay to refer
806162;407209;644660;Licensed;DEL;Center;Non-Expiring;Open;Alki Beach Academy Inc;Alki Beach Academy Inc;;2/12/2014;8/11/2014;11-Feb;;2065104330;alkibeachacademy@gmail.com;2069351899;115;1 month to 12 years 11 months;1;155;2414 SW Andover St Suite F-102;;;Seattle;WA;98106;2414 SW Andover St Suite F-102;;;Seattle;WA;98106;2414 SW Andover St Suite F-102;;;Seattle;WA;98106;2414 SW Andover St Suite F-102;;;Seattle;WA;98106;King;Cathryn Green;Renton;Northwest;47.5687617;-122.363743;Participating in Quality Improvement;Okay to refer
169483;442111;527559;Licensed;DEL;Center;Non-Expiring;Open;ALL ABOUT KIDS INFANT & CHILDCARE CENTER;ALL ABOUT KIDS INFANT & CHILDCARE CENTER;;12/1/1995;12/1/1995;1-Dec;;2069384468;;;40;1 month to 6 years;1;72;2207 California Ave SW;;;Seattle;WA;98116;2207 California Ave SW;;;Seattle;WA;98116;2207 California Ave SW;;;Seattle;WA;98116;2207 California Ave SW;;;Seattle;WA;98116;King;Cathryn Green;Renton;Northwest;47.583649;-122.386835;Quality Level of Excellence;Okay to refer
878219;590991;678690;Licensed;DEL;Center;Initial (1st);Open;All About Kids Preschool;All About Kids Preschool. A Child's Place of Discovery;;11/14/2014;;11-Nov;11/11/2015;3602791918;;;38;2 years 6 months to 7 years;30;84;390 NE Midway Blvd;;Ste B101, B105, B106;Oak Harbor;WA;98277;390 NE Midway Blvd;;Suites B101, 105, 106;Oak Harbor;WA;98277;390 NE Midway Blvd;;Ste B101, B105, B106;Oak Harbor;WA;98277;390 NE Midway Blvd;;Ste B101, B105, B106;Oak Harbor;WA;98277;Island;Sheau-Pyng Li;Bellingham;North Central;48.3009851;-122.6425348;Not Participating;Okay to refer
923176;721038;665655;Licensed;DEL;Center;Initial (1st);Open;All Blessed Children Early Learning Center;All Blessed Children Early Learning Center;;7/1/2015;;29-Dec;12/29/2015;2532758526;;;16;12 months to 5 years 11 months;12;71;1620 South Adams Street;;;Tacoma;WA;98405;1620 South Adams Street;;;Tacoma;WA;98405;1620 South Adams Street;;;Tacoma;WA;98405;1620 South Adams Street;;;Tacoma;WA;98405;Pierce;Karen Ford;Tacoma;Southwest;47.245177;-122.486703;Not Participating;Okay to refer
26361;515820;671668;Licensed;DEL;Center;Non-Expiring;Open;All Bout Children Daycare;ABC Child Care Center;;5/1/1991;5/1/1991;1-May;;3608767241;abc@godspon.org;;100;12 months to 12 years;12;144;4647 Sidney Road SW;;;Port Orchard;WA;98367;4647 Sidney Road SW;;;Port Orchard;WA;98367;4647 SIDNEY DR SW;;;PORT ORCHARD;WA;98366;4647 Sidney Road SW;;;Port Orchard;WA;98367;Kitsap;Sharon Bell;Tacoma;Southwest;47.505752;-122.650674;Participating in Quality Improvement;Okay to refer
