"ProviderNumber";"Report_Date";"Arrival_Time";"Report_Type";"Filename"
"CCLC-11077";"Aug 07, 2019";"12:30 PM";"Monitoring Visit";"CCLC-11077_MV_08072019_1.pdf"
"CCLC-11077";"May 15, 2019";"09:30 AM";"Licensing Study";"CCLC-11077_LS_05152019_1.pdf"
"CCLC-11077";"Oct 10, 2018";"11:35 AM";"Monitoring Visit";"CCLC-11077_MV_10102018_1.pdf"
"CCLC-32817";"Jun 01, 2023";"08:10 AM";"Licensing Study";"lela1_CCLC-32817_LS_612023_(1).pdf"
"CCLC-32817";"Dec 08, 2022";"10:40 AM";"Monitoring Visit";"lela1_CCLC-32817_MV_1282022_(0).pdf"
"CCLC-32817";"Nov 29, 2021";"12:00 PM";"Monitoring Visit";"lela1_CCLC-32817_MV_11292021_(1)_1.pdf"
"CCLC-32817";"Mar 08, 2021";"10:00 AM";"Licensing Study";"CCLC-32817_LS_03082021_1.pdf"
"CCLC-32817";"Sep 01, 2020";"12:00 PM";"Monitoring Visit";"CCLC-32817_MV_09012020_1.pdf"
"CCLC-32817";"Jan 14, 2020";"08:45 AM";"Licensing Study";"CCLC-32817_LS_01142020_1.pdf"
"CCLC-32817";"Jul 24, 2019";"12:25 PM";"Monitoring Visit";"CCLC-32817_MV_07242019_1.pdf"
"CCLC-32817";"May 06, 2019";"01:20 PM";"Licensing Study";"CCLC-32817_LS_05062019_1.pdf"
"CCLC-32817";"Sep 25, 2018";"09:05 AM";"Monitoring Visit";"CCLC-32817_MV_09252018_1.pdf"
"CCLC-35885";"Jul 28, 2022";"11:10 AM";"Monitoring Visit";"snmi_CCLC-35885_MV_7282022_(0)_1.pdf"
"CCLC-35885";"Jan 26, 2022";"09:00 AM";"Monitoring Visit";"snmi_CCLC-35885_MV_1262022_(1)_1.pdf"
"CCLC-35885";"Sep 13, 2021";"11:45 AM";"Licensing Study";"CCLC-35885_LS_09132021_1.pdf"
"CCLC-35885";"Aug 24, 2021";"11:30 AM";"Incident Investigation by Phone";"CCLC-35885_IIbyPhone_08242021_1.pdf"
"CCLC-35885";"Feb 16, 2021";"01:45 PM";"Licensing Study";"CCLC-35885_LS_02162021_1.pdf"
"CCLC-35885";"Jul 16, 2020";"09:30 AM";"Monitoring Visit";"CCLC-35885_MV_07162020_1.pdf"
"CCLC-35885";"Nov 26, 2019";"01:05 PM";"Licensing Study";"CCLC-35885_LS_11262019_1.pdf"
"CCLC-35885";"Sep 17, 2019";"12:40 PM";"Monitoring Visit";"CCLC-35885_CI_MV_09172019_1.pdf"
"CCLC-35885";"Feb 26, 2019";"01:50 PM";"Monitoring Visit";"CCLC-35885_MV_02262019_1.pdf"
"CCLC-35885";"Nov 01, 2018";"09:45 AM";"Licensing Study";"CCLC-35885_LS_11012018_1.pdf"
"CCLC-58350";"Aug 16, 2023";"10:00 AM";"Monitoring Visit";"lela1_CCLC-58350_MV_8162023_(0).pdf"
"CCLC-58350";"Apr 03, 2023";"07:45 AM";"ILS with PTO";"ktke_CCLC-58350_ILSwPTO_432023_(0).pdf"
"CCLC-58350";"Mar 17, 2023";"09:45 AM";"Initial Licensing Study";"ktke_CCLC-58350_ILS_3172023_(0).pdf"
"CCLC-36139";"May 17, 2023";"10:30 AM";"Licensing Study";"lela1_CCLC-36139_LS_5172023_(0).pdf"
"CCLC-36139";"Feb 21, 2023";"09:20 AM";"Monitoring Visit";"lela1_CCLC-36139_CIMV_2212023_(0).pdf"
"CCLC-36139";"Jan 09, 2023";"09:50 AM";"Complaint Closure";"CCLC-36139_ComplaintClosure_01052023.pdf"
"CCLC-36139";"Jan 05, 2023";"09:50 AM";"Complaint Investigation Follow Up";"lela1_CCLC-36139_CIFollowUp_152023_(0).pdf"
"CCLC-36139";"Nov 10, 2022";"09:50 AM";"Monitoring Visit";"lela1_CCLC-36139_MV_11102022_(0).pdf"
"CCLC-36139";"Nov 16, 2021";"10:30 AM";"Monitoring Visit";"CCLC-36139_MV_11162021_1.pdf"
"CCLC-36139";"Apr 22, 2021";"12:30 PM";"Monitoring Visit";"lela1_CCLC-36139_CIMV_4222021_(1)_1.pdf"
"CCLC-36139";"Jan 07, 2021";"11:00 AM";"Licensing Study";"CCLC-36139_LS_01072021_1.pdf"
"CCLC-36139";"Aug 24, 2020";"10:55 AM";"Monitoring Visit";"CCLC-36139_MV_08242020_1.pdf"
"CCLC-36139";"Jul 13, 2020";"10:00 AM";"Follow-Up";"CCLC-36139_II_FollowUp_07132020_1.pdf"
"CCLC-36139";"Mar 09, 2020";"01:20 PM";"Licensing Study";"CCLC-36139_LS_03092020_1.pdf"
"CCLC-36139";"Sep 17, 2019";"08:40 AM";"Follow-Up";"CCLC-36139_CIFollowUp_09172019_1.pdf"
"CCLC-36139";"Sep 05, 2019";"08:55 AM";"Monitoring Visit";"CCLC-36139_MV_09052019_1.pdf"
"CCLC-36139";"May 06, 2019";"09:30 AM";"Licensing Study";"CCLC-36139_LS_05062019_1.pdf"
"CCLC-36139";"Sep 19, 2018";"09:05 AM";"Monitoring Visit";"CCLC-36139_MV_09192018_1.pdf"
"CCLC-3948";"May 23, 2023";"10:45 AM";"Licensing Study";"lela1_CCLC-3948_LS_5232023_(0).pdf"
"CCLC-3948";"Apr 11, 2023";"01:00 PM";"Incident Investigation Closure";"mdta1_CCLC-3948_IncidentInvestigationClosure_382023_(1).pdf"
"CCLC-3948";"Mar 08, 2023";"01:00 PM";"Incident Investigation & Follow Up";"mdta1_CCLC-3948_IIFollowUp_382023_(1).pdf"
"CCLC-3948";"Nov 15, 2022";"10:00 AM";"Monitoring Visit";"lela1_CCLC-3948_MV_11152022_(0).pdf"
"CCLC-3948";"Oct 21, 2021";"09:00 AM";"Monitoring Visit";"lela1_CCLC-3948_MV_10212021_(1)_1.pdf"
"CCLC-3948";"Feb 22, 2021";"10:30 AM";"Licensing Study";"CCLC-3948_LS_02222021_1.pdf"
"CCLC-3948";"Sep 09, 2020";"09:30 AM";"Monitoring Visit";"CCLC-3948_MV_09092020_1.pdf"
"CCLC-3948";"Jan 13, 2020";"08:55 AM";"Licensing Study";"CCLC-3948_LS_01132020_1.pdf"
"CCLC-3948";"Jul 23, 2019";"08:35 AM";"Monitoring Visit";"CCLC-3948_MV_07232019_1.pdf"
"CCLC-3948";"Apr 25, 2019";"08:20 AM";"Licensing Study";"CCLC-3948_LS_04252019_1.pdf"
"CCLC-3948";"Oct 10, 2018";"08:50 AM";"Monitoring Visit";"CCLC-3948_MV_10102018_1.pdf"
"CCLC-23914";"Jul 28, 2022";"09:15 AM";"Monitoring Visit";"snmi_CCLC-23914_MV_7282022_(0)_1.pdf"
"CCLC-23914";"Feb 21, 2022";"09:10 AM";"Monitoring Visit";"snmi_CCLC-23914_MV_2212022_(0)_1.pdf"
"CCLC-23914";"Aug 13, 2021";"01:00 PM";"Licensing Study";"CCLC-23914_LS_08132021_1.pdf"
"CCLC-23914";"Jan 27, 2021";"03:00 PM";"Licensing Study";"CCLC-23914_LS_01272021_1.pdf"
"CCLC-23914";"Nov 02, 2020";"12:30 PM";"POI Follow Up";"CCLC-23914_POIFollow-Up_11022020_1.pdf"
"CCLC-23914";"Jul 21, 2020";"10:00 AM";"Monitoring Visit";"CCLC-23914_MV_07212020_1.pdf"
"CCLC-23914";"Mar 12, 2020";"01:05 PM";"Monitoring Visit";"CCLC-23914_MV_03122020_1.pdf"
"CCLC-23914";"Nov 05, 2019";"12:40 PM";"Licensing Study";"CCLC-23914_LS_11052019_1.pdf"
"CCLC-23914";"May 28, 2019";"02:00 PM";"POI Follow Up";"CCLC-23914_POIFollow-Up_05282019_1.pdf"
"CCLC-23914";"May 02, 2019";"11:55 AM";"Complaint Closure";"CCLC-23914_ComplaintClosure_04252019_1.pdf"
"CCLC-23914";"Apr 25, 2019";"11:55 AM";"Complaint Investigation Follow Up";"CCLC-23914_CIFollowUp_04252019_1.pdf"
"CCLC-23914";"Feb 25, 2019";"11:40 AM";"Monitoring Visit";"CCLC-23914_MV_02252019_1.pdf"
"CCLC-23914";"Nov 07, 2018";"11:45 AM";"Licensing Study";"CCLC-23914_LS_11072018_1.pdf"
"CCLC-48364";"Aug 22, 2023";"09:45 AM";"Follow-Up";"lela1_CCLC-48364_CIFollowUp_8222023_(0).pdf"
"CCLC-48364";"Aug 03, 2023";"10:00 AM";"Licensing Study";"lela1_CCLC-48364_CILS_832023_(0).pdf"
"CCLC-48364";"Jun 21, 2023";"09:40 AM";"Licensing Study";"lela1_CCLC-48364_LS_6212023_(0).pdf"
"CCLC-48364";"Nov 08, 2022";"12:40 PM";"Monitoring Visit";"CCLC-48364_CI_MV_11082022.pdf"
"CCLC-48364";"Oct 24, 2022";"09:50 AM";"Monitoring Visit";"lela1_CCLC-48364_CIMV_10242022_(1).pdf"
"CCLC-48364";"Nov 04, 2021";"09:30 AM";"Monitoring Visit";"CCLC-48364_MV_11042021_1.pdf"
"CCLC-48364";"Jul 30, 2021";"11:00 AM";"Complaint Closure";"CCLC-48364_ComplaintClosure_06162021.pdf"
"CCLC-48364";"Jun 16, 2021";"11:00 AM";"Complaint Investigation & Monitoring Visit";"CCLC-48364_CI_MV_06162021_1.pdf"
"CCLC-48364";"Jan 22, 2021";"09:30 AM";"Licensing Study";"CCLC-48364_LS_01222021_1.pdf"
"CCLC-48364";"Aug 07, 2020";"01:00 PM";"Monitoring Visit";"CCLC-48364_MV_08072020_1.pdf"
"CCLC-48364";"Feb 24, 2020";"09:20 AM";"Licensing Study";"CCLC-48364_LS_02242020_1.pdf"
"CCLC-48364";"Aug 07, 2019";"08:40 AM";"Monitoring Visit";"CCLC-48364_MV_08072019_1.pdf"
"CCLC-48364";"Apr 30, 2019";"09:30 AM";"Licensing Study";"CCLC-48364_LS_04302019_1.pdf"
"CCLC-48364";"Oct 25, 2018";"09:15 AM";"Monitoring Visit";"CCLC-48364_MV_10252018_1.pdf"
"CCLC-3389";"May 01, 2023";"04:10 PM";"Licensing Study";"lela1_CCLC-3389_LS_512023_(0).pdf"
"CCLC-3389";"Dec 12, 2022";"02:40 PM";"Monitoring Visit";"lela1_CCLC-3389_MV_12122022_(0).pdf"
"CCLC-3389";"May 25, 2022";"03:50 PM";"Licensing Study";"CCLC-3389_LS_05252022_1.pdf"
"CCLC-3389";"Dec 06, 2021";"04:30 PM";"Monitoring Visit";"CCLC-3389_MV_12062021_1.pdf"
"CCLC-3389";"Feb 04, 2020";"03:50 PM";"Licensing Study";"CCLC-3389_LS_02042020_1.pdf"
"CCLC-3389";"Aug 14, 2019";"02:25 PM";"Monitoring Visit";"CCLC-3389_MV_08142019_1.pdf"
"CCLC-3389";"Mar 26, 2019";"02:40 PM";"Licensing Study";"CCLC-3389_LS_03262019_1.pdf"
"CCLC-3389";"Sep 27, 2018";"02:45 PM";"Monitoring Visit";"CCLC-3389_MV_09272018_1.pdf"
"CCLC-3581";"May 02, 2023";"02:30 PM";"Licensing Study";"lela1_CCLC-3581_LS_522023_(0).pdf"
"CCLC-3581";"Dec 12, 2022";"03:15 PM";"Monitoring Visit";"CCLC-3581_MV_12122022.pdf"
"CCLC-3581";"May 25, 2022";"03:00 PM";"Licensing Study";"lela1_CCLC-3581_LS_5252022_(0)_1.pdf"
"CCLC-3581";"Dec 06, 2021";"06:05 PM";"Monitoring Visit";"CCLC-3581_MV_12062021_1.pdf"
"CCLC-3581";"Dec 09, 2020";"05:00 PM";"Monitoring Visit";"CCLC-3581_MV_12092020_1.pdf"
"CCLC-3581";"Feb 18, 2020";"02:30 PM";"Licensing Study";"CCLC-3581_LS_02182020_1.pdf"
"CCLC-3581";"Aug 21, 2019";"02:30 PM";"Monitoring Visit";"CCLC-3581_MV_08212019_1.pdf"
"CCLC-3581";"Mar 07, 2019";"02:25 PM";"Licensing Study";"CCLC-3581_LS_03072019_1.pdf"
"CCLC-3581";"Nov 08, 2018";"02:25 PM";"Monitoring Visit";"CCLC-3581_MV_11082018_1.pdf"
"CCLC-28964";"May 01, 2023";"05:25 PM";"Licensing Study";"lela1_CCLC-28964_LS_512023_(1).pdf"
"CCLC-28964";"Nov 03, 2022";"02:30 PM";"Monitoring Visit";"lela1_CCLC-28964_MV_1132022_(0).pdf"
"CCLC-28964";"May 12, 2022";"04:15 PM";"Licensing Study";"lela1_CCLC-28964_LS_5122022_(0)_1.pdf"
"CCLC-28964";"Dec 06, 2021";"05:00 PM";"Monitoring Visit";"CCLC-28964_MV_12062021_1.pdf"
"CCLC-28964";"Jan 28, 2020";"02:30 PM";"Licensing Study";"CCLC-28964_LS_01282020_1.pdf"
"CCLC-28964";"Sep 18, 2019";"02:30 PM";"Monitoring Visit";"CCLC-28964_MV_09182019_1.pdf"
"CCLC-28964";"Apr 11, 2019";"03:45 PM";"Licensing Study";"CCLC-28964_LS_04112019_1.pdf"
"CCLC-28964";"Oct 25, 2018";"02:30 PM";"Monitoring Visit";"CCLC-28964_MV_10252018_1.pdf"
"CCLC-36133";"Sep 12, 2022";"10:30 AM";"Complaint Closure";"crma_CCLC-36133_ComplaintClosure_8312022_(1).pdf"
"CCLC-36133";"Aug 31, 2022";"10:30 AM";"Complaint Investigation Follow Up";"crma_CCLC-36133_CIFollowUp_8312022_(1).pdf"
"CCLC-36133";"Aug 23, 2022";"11:45 AM";"POI Follow Up";"snmi_CCLC-36133_POIFollow-Up_8232022_(0).pdf"
"CCLC-36133";"Jul 12, 2022";"09:20 AM";"Monitoring Visit";"snmi_CCLC-36133_MV_7122022_(0)_1.pdf"
"CCLC-36133";"Feb 03, 2022";"08:50 AM";"Monitoring Visit";"snmi_CCLC-36133_MV_232022_(0)_1.pdf"
"CCLC-36133";"Aug 26, 2021";"12:30 PM";"Licensing Study";"CCLC-36133_LS_08262021_1.pdf"
"CCLC-36133";"Feb 17, 2021";"10:00 AM";"Licensing Study";"CCLC-36133_LS_02172021_1.pdf"
"CCLC-36133";"Jul 22, 2020";"01:00 PM";"Monitoring Visit";"CCLC-36133_MV_07222020_1.pdf"
"CCLC-36133";"Feb 06, 2020";"09:00 AM";"Incident Investigation Closure";"CCLC-36133_IncidentInvestigationClosure_02062020_1.pdf"
"CCLC-36133";"Feb 06, 2020";"09:00 AM";"Incident Investigation-Monitoring Visit";"CCLC-36133_II_MV_02062020_1.pdf"
"CCLC-36133";"Aug 13, 2019";"08:30 AM";"Licensing Study";"CCLC-36133_CI_LS_08132019_1.pdf"
"CCLC-36133";"May 29, 2019";"08:45 AM";"Monitoring Visit";"CCLC-36133_MV_05292019_1.pdf"
"CCLC-36133";"Oct 11, 2018";"09:50 AM";"Licensing Study";"CCLC-36133_LS_10112018_1.pdf"
"CCLC-38363";"Aug 03, 2023";"02:50 PM";"Follow-Up";"rsrl_CCLC-38363_CIFollowUp_832023_(0).pdf"
"CCLC-38363";"Dec 08, 2022";"01:45 PM";"Monitoring Visit";"lela1_CCLC-38363_MV_1282022_(0).pdf"
"CCLC-38363";"Sep 27, 2022";"01:40 PM";"Licensing Study";"lela1_CCLC-38363_LS_9272022_(0).pdf"
"CCLC-38363";"Jul 27, 2022";"01:00 PM";"Follow-Up";"lass_CCLC-38363_IIFollowUp_7272022_(0)_1.pdf"
"CCLC-38363";"Jul 11, 2022";"09:00 AM";"Complaint Closure";"lela1_CCLC-38363_ComplaintClosure_6142022_(1)_1.pdf"
"CCLC-38363";"Jun 14, 2022";"09:00 AM";"Complaint Investigation & Licensing Study";"lela1_CCLC-38363_CILS_6142022_(2)_1.pdf"
"CCLC-38363";"Apr 20, 2022";"09:45 AM";"Complaint Closure";"lela1_CCLC-38363_ComplaintClosure_3292022_(1)_1.pdf"
"CCLC-38363";"Mar 29, 2022";"09:45 AM";"Complaint Investigation & Monitoring Visit";"lela1_CCLC-38363_CIMV_3292022_(2)_1.pdf"
"CCLC-38363";"Dec 06, 2021";"10:00 AM";"Monitoring Visit";"lela1_CCLC-38363_MV_1262021_(1)_1.pdf"
"CCLC-38363";"Feb 17, 2021";"09:30 AM";"Licensing Study";"CCLC-38363_LS_02172021_1.pdf"
"CCLC-38363";"Aug 03, 2020";"11:35 AM";"Monitoring Visit";"CCLC-38363_MV_08032020_1.pdf"
"CCLC-38363";"Mar 09, 2020";"08:40 AM";"Licensing Study";"CCLC-38363_LS_03092020_1.pdf"
"CCLC-38363";"Sep 26, 2019";"01:10 PM";"Monitoring Visit";"CCLC-38363_MV_09262019_1.pdf"
"CCLC-38363";"Jun 06, 2019";"09:00 AM";"Licensing Study";"CCLC-38363_LS_06062019_1.pdf"
"CCLC-38363";"Feb 27, 2019";"09:05 AM";"Complaint Investigation & Monitoring Visit";"CCLC-38363_CI_MV_02272019_1.pdf"
"CCLC-38363";"Feb 27, 2019";"09:05 AM";"Complaint Closure";"CCLC-38363_ComplaintClosure_02272019_1.pdf"
"CCLC-38363";"Oct 16, 2018";"12:20 PM";"Monitoring Visit";"CCLC-38363_MV_10162018_1.pdf"
"CCLC-27428";"Jun 21, 2023";"12:20 PM";"Licensing Study";"lela1_CCLC-27428_LS_6212023_(0).pdf"
"CCLC-27428";"Nov 15, 2022";"12:00 PM";"Monitoring Visit";"CCLC-27428_MV_11152022.pdf"
"CCLC-27428";"Nov 17, 2021";"10:30 AM";"Monitoring Visit";"CCLC-27428_MV_11172021_1.pdf"
"CCLC-27428";"Feb 10, 2021";"10:00 AM";"Licensing Study";"CCLC-27428_LS_02102021_1.pdf"
"CCLC-27428";"Aug 12, 2020";"12:00 PM";"Monitoring Visit";"CCLC-27428_MV_08122020_1.pdf"
"CCLC-27428";"Mar 03, 2020";"08:30 AM";"Licensing Study";"CCLC-27428_LS_03032020_1.pdf"
"CCLC-27428";"Sep 23, 2019";"11:30 AM";"Monitoring Visit";"CCLC-27428_MV_09232019_1.pdf"
"CCLC-27428";"Apr 08, 2019";"09:10 AM";"Licensing Study";"CCLC-27428_LS_04082019_1.pdf"
"CCLC-27428";"Oct 30, 2018";"12:15 PM";"Monitoring Visit";"CCLC-27428_MV_10302018_1.pdf"
"CCLC-27428";"Sep 12, 2018";"08:45 AM";"Complaint Closure";"CCLC-27428_ComplaintClosure_09122018_1.pdf"
"CCLC-27428";"Sep 12, 2018";"08:45 AM";"Complaint Investigation & Monitoring Visit";"CCLC-27428_CI_MV_09122018_1.pdf"
"CCLC-51720";"May 04, 2023";"10:30 AM";"Incident Investigation Closure";"btly_CCLC-51720_IncidentInvestigationClosure_3302023_(1).pdf"
"CCLC-51720";"Mar 30, 2023";"10:30 AM";"Incident Investigation & Follow Up";"btly_CCLC-51720_IIFollowUp_3302023_(1).pdf"
"CCLC-51720";"Dec 08, 2022";"12:10 PM";"Monitoring Visit";"lela1_CCLC-51720_MV_1282022_(0).pdf"
"CCLC-51720";"Aug 08, 2022";"10:45 AM";"Follow-Up";"byjr_CCLC-51720_IIFollowUp_882022_(2).pdf"
"CCLC-51720";"Jun 14, 2022";"10:30 AM";"Follow-Up";"lela1_CCLC-51720_CIFollowUp_6142022_(1)_1.pdf"
"CCLC-51720";"Dec 07, 2021";"10:00 AM";"Monitoring Visit";"CCLC-51720_MV_12072021_1.pdf"
"CCLC-51720";"Sep 14, 2021";"11:00 AM";"Complaint Closure";"CCLC-51720_ComplaintClosure_08272021_1.pdf"
"CCLC-51720";"Aug 27, 2021";"11:00 AM";"Complaint Investigation & Monitoring Visit";"lela1_CCLC-51720_CIMV_8272021_(0)_1.pdf"
"CCLC-51720";"Feb 04, 2021";"10:30 AM";"Licensing Study";"CCLC-51720_LS_02042021_1.pdf"
"CCLC-51720";"Sep 03, 2020";"10:30 AM";"Monitoring Visit";"CCLC-51720_MV_09032020_1.pdf"
"CCLC-51720";"Aug 29, 2019";"09:10 AM";"Initial Licensing Study";"CCLC-51720_ILS_08292019_1.pdf"
"CCLC-3429";"May 11, 2023";"11:15 AM";"Monitoring Visit";"trjr_CCLC-3429_MV_5112023_(1).pdf"
"CCLC-3429";"Feb 10, 2022";"03:30 PM";"Monitoring Visit";"CCLC-3429_MV_02102022_1.pdf"
"CCLC-3429";"Aug 27, 2021";"09:00 AM";"Licensing Study";"CCLC-3429_LS_08272021_1.pdf"
"CCLC-3429";"Feb 25, 2021";"03:15 PM";"Licensing Study";"CCLC-3429_LS_02252021_1.pdf"
"CCLC-3429";"Sep 15, 2020";"02:00 PM";"Monitoring Visit";"CCLC-3429_MV_09152020_1.pdf"
"CCLC-3429";"Mar 05, 2020";"02:15 PM";"Monitoring Visit";"CCLC-3429_MV_03052020_1.pdf"
"CCLC-3429";"Nov 12, 2019";"01:05 PM";"Licensing Study";"CCLC-3429_LS_11122019_1.pdf"
"CCLC-3429";"Apr 25, 2019";"08:30 AM";"Monitoring Visit";"CCLC-3429_MV_04252019_1.pdf"
"CCLC-3429";"Oct 11, 2018";"09:35 AM";"Licensing Study";"CCLC-3429_LS_10112018_1.pdf"
