"Provider Name";"Address 1";"Address 2";"City";"State";"ZIP";"Mail Address 1";"Mail Address 2";"Mail City";"Mail State";"Mail ZIP";"Phone";"Fax Number";"Director/Owner";"Status";"License/Registration Issue Date";"Provider Type";"Approved to Accept Child Care Assistance?";"QRS Level";"Current Vacancies";"Capacity";"Monday hours";"Tuesday hours";"Wednesday hours";"Thursday hours";"Friday hours";"Saturday hours";"Sunday hours";"Rates";"County";"URL";"License Expiration Date";"Visit Report"
"Orient-Macksburg School ";"201 School Street";;"Orient";"IA";50858;"PO Box 129";;"Orient";"IA";50858;"(641) 337-5061";;", ";"Active";"6/5/2015";"Exempt from Licensing";"No";;;;;;;;;;;;"Adair";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=46795";"6/1/2017";
"Sunshine Day Care Center";"110 NE Grant St";;"Greenfield";"IA";50849;"110 NE Grant St";;"Greenfield";"IA";50849;"(641) 743-2866";;", ";"Active";"4/1/2019";"Licensed Center";"Yes";2;;67;" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";;;"Infant (up to 24 months)  Hourly/3.25| Infant (up to 24 months)  Hourly/3.25| Infant (up to 36 months)  Hourly/3.25| Infant (up to 36 months)  Hourly/3.25| Preschool (24 to Kindergarten)  Hourly/3.25| Preschool (24 to Kindergarten)  Hourly/3.25| Preschool (36 to Kindergarten)  Hourly/3.25| Preschool (36 to Kindergarten)  Hourly/3.25| School Age (K and up)  Hourly/3.25| School Age (K and up)  Hourly/3.25";"Adair";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=25599";"3/31/2021";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/25599"
"Tonya Dillenburg";"110 N Sunshine LN";;"Orient";"IA";50858;"110 N Sunshine LN";;"Orient";"IA";50858;"(641) 202-9066";;"Dillenburg, Tonya";"Active";"7/19/2019";"Registered Child Development Home A";"Yes";;;8;" 7:00AM -  5:00PM";" 7:00AM -  5:00PM";" 7:00AM -  5:00PM";" 7:00AM -  5:00PM";" 7:00AM -  5:00PM";;;"Infant (up to 24 months)  Half-Day/13.00| Infant (up to 24 months)  Half-Day/13.00| Infant (up to 36 months)  Half-Day/13.00| Infant (up to 36 months)  Half-Day/13.00| Preschool (24 to Kindergarten)  Half-Day/13.00| Preschool (24 to Kindergarten)  Half-Day/13.00| Preschool (36 to Kindergarten)  Half-Day/13.00| Preschool (36 to Kindergarten)  Half-Day/13.00| School Age (K and up)  Half-Day/13.00| School Age (K and up)  Half-Day/13.00";"Adair";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=50602";"6/30/2021";
"Amber Gail Crozier";"1011 8th ST";;"Corning";"IA";50841;"1011 8th ST";;"Corning";"IA";50841;"(641) 322-5014";;"Crozier, Amber Gail";"Active";"10/1/2019";"Registered Child Development Home B";"Yes";3;"Infant/Toddler: 0+Preschool: 1+School Age: 0";12;" 7:00AM -  4:30PM";" 7:00AM -  4:30PM";" 7:00AM -  4:30PM";" 7:00AM -  4:30PM";" 7:00AM -  4:30PM";;;"Infant (up to 24 months)  Half-Day/12.50| Infant (up to 24 months)  Half-Day/12.50| Infant (up to 24 months)  Half-Day/12.50| Infant (up to 36 months)  Half-Day/12.50| Infant (up to 36 months)  Half-Day/12.50| Infant (up to 36 months)  Half-Day/12.50| Preschool (24 to Kindergarten)  Half-Day/12.50| Preschool (24 to Kindergarten)  Half-Day/12.50| Preschool (24 to Kindergarten)  Half-Day/12.50| Preschool (36 to Kindergarten)  Half-Day/12.50| Preschool (36 to Kindergarten)  Half-Day/12.50| Preschool (36 to Kindergarten)  Half-Day/12.50| School Age (K and up)  Half-Day/12.50| School Age (K and up)  Half-Day/12.50| School Age (K and up)  Half-Day/12.50";"Adams";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=25674";"9/30/2021";
"Corning Head Start";"905 Benton Ave";;"Corning";"IA";50841;;"905 Benton Ave";"Corning";"IA";50841;"(641) 322-4601";;", ";"Active";"9/9/2019";"Licensed Center";"No";;;20;" 7:45AM -  3:15PM";" 7:45AM -  3:15PM";" 7:45AM -  3:15PM";" 7:45AM -  3:15PM";" 7:45AM -  3:15PM";;;;"Adams";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=28428";"8/31/2021";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/28428"
"Debbie Kay Sickels";"906 7th ST";;"Corning";"IA";50841;"906 7th ST";;"Corning";"IA";50841;"(641) 322-3003";;"Sickels, Debbie Kay";"Active";"9/1/2019";"Registered Child Development Home C1";"Yes";;;8;" 7:30AM -  4:30PM";" 7:30AM -  4:30PM";" 7:30AM -  4:30PM";" 7:30AM -  4:30PM";" 7:30AM -  4:30PM";;;"Infant (up to 24 months)  Half-Day/13.00| Infant (up to 24 months)  Half-Day/13.00| Infant (up to 36 months)  Half-Day/13.00| Infant (up to 36 months)  Half-Day/13.00| Preschool (24 to Kindergarten)  Half-Day/13.00| Preschool (24 to Kindergarten)  Half-Day/13.00| Preschool (36 to Kindergarten)  Half-Day/13.00| Preschool (36 to Kindergarten)  Half-Day/13.00| School Age (K and up)  Half-Day/13.00| School Age (K and up)  Half-Day/13.00";"Adams";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=25673";"8/31/2021";
"Shelby Miller ";"306 10th ST";;"Corning";"IA";50841;"306 10th ST";;"Corning";"IA";50841;"(712) 621-7144";;"Miller, Shelby";"Active";"12/6/2019";"Registered Child Development Home B";"Yes";4;;12;" 7:00AM -  5:00PM";" 7:00AM -  5:00PM";" 7:00AM -  5:00PM";" 7:00AM -  5:00PM";" 7:00AM -  5:00PM";;;"Infant (up to 24 months)  Hourly/3.00| Infant (up to 24 months)  Hourly/3.00| Infant (up to 24 months)  Hourly/3.00| Infant (up to 24 months)  Hourly/3.00| Infant (up to 36 months)  Hourly/3.00| Infant (up to 36 months)  Hourly/3.00| Infant (up to 36 months)  Hourly/3.00| Infant (up to 36 months)  Hourly/3.00| Preschool (24 to Kindergarten)  Hourly/3.00| Preschool (24 to Kindergarten)  Hourly/3.00| Preschool (24 to Kindergarten)  Hourly/3.00| Preschool (24 to Kindergarten)  Hourly/3.00| Preschool (36 to Kindergarten)  Hourly/3.00| Preschool (36 to Kindergarten)  Hourly/3.00| Preschool (36 to Kindergarten)  Hourly/3.00| Preschool (36 to Kindergarten)  Hourly/3.00| School Age (K and up)  Hourly/3.00| School Age (K and up)  Hourly/3.00| School Age (K and up)  Hourly/3.00| School Age (K and up)  Hourly/3.00";"Adams";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=44871";"1/31/2021";
"Southwest Valley Schools Early Childhood Center";"905 Benton Ave";;"Corning";"IA";50841;"905 Benton Ave";;"Corning ";"IA";50841;"(641) 322-4601";;", ";"Active";"10/22/2019";"Licensed Center";"Yes";2;;54;" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";;;"Infant (up to 24 months)  Half-Day/22.50| Infant (up to 24 months)  Half-Day/22.50| Infant (up to 24 months)  Half-Day/22.50| Infant (up to 36 months)  Half-Day/22.50| Infant (up to 36 months)  Half-Day/22.50| Infant (up to 36 months)  Half-Day/22.50| Preschool (24 to Kindergarten)  Half-Day/22.50| Preschool (24 to Kindergarten)  Half-Day/22.50| Preschool (24 to Kindergarten)  Half-Day/22.50| Preschool (36 to Kindergarten)  Half-Day/22.50| Preschool (36 to Kindergarten)  Half-Day/22.50| Preschool (36 to Kindergarten)  Half-Day/22.50| School Age (K and up)  Half-Day/22.50| School Age (K and up)  Half-Day/22.50| School Age (K and up)  Half-Day/22.50";"Adams";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=50838";"10/31/2021";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/50838"
"Stephanie Wilkinson";"701 5th ST";;"Corning";"IA";50841;"701 5th ST";;"Corning";"IA";50841;"(641) 418-0304";;"Wilkinson, Stephanie";"Active";"9/13/2019";"Registered Child Development Home B";"Yes";2;;12;" 5:00AM -  5:00PM";" 5:00AM -  5:00PM";" 5:00AM -  5:00PM";" 5:00AM -  5:00PM";" 5:00AM -  5:00PM";;;"Infant (up to 24 months)  Half-Day/15.00| Infant (up to 24 months)  Half-Day/15.00| Infant (up to 36 months)  Half-Day/15.00| Infant (up to 36 months)  Half-Day/15.00| Preschool (24 to Kindergarten)  Half-Day/15.00| Preschool (24 to Kindergarten)  Half-Day/15.00| Preschool (36 to Kindergarten)  Half-Day/15.00| Preschool (36 to Kindergarten)  Half-Day/15.00| School Age (K and up)  Half-Day/15.00| School Age (K and up)  Half-Day/15.00";"Adams";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=25667";"8/31/2021";
"Tamara Haley";"700 7TH ST";;"Corning";"IA";50841;"700 7TH ST";;"Corning";"IA";50841;"(641) 221-1191";;"Haley, Tamara";"Active";"12/20/2019";"Registered Child Development Home A";"Yes";2;;8;" 6:00AM -  5:00PM";" 6:00AM -  5:00PM";" 6:00AM -  5:00PM";" 6:00AM -  5:00PM";" 6:00AM -  5:00PM";;;"Infant (up to 24 months)  Half-Day/13.50| Infant (up to 24 months)  Half-Day/13.50| Infant (up to 36 months)  Half-Day/13.50| Infant (up to 36 months)  Half-Day/13.50| Preschool (24 to Kindergarten)  Half-Day/13.50| Preschool (24 to Kindergarten)  Half-Day/13.50| Preschool (36 to Kindergarten)  Half-Day/13.50| Preschool (36 to Kindergarten)  Half-Day/13.50| School Age (K and up)  Half-Day/13.50| School Age (K and up)  Half-Day/13.50";"Adams";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=50862";"11/30/2021";
"Allamakee CSD-Bright Beginnings";"953 3rd Ave. NW";;"Waukon";"IA";52172;;;;" ";" ";"(563) 568-6375";;", ";"Active";"8/22/2011";"Exempt from Licensing";"No";4;;;;;;;;;;;"Allamakee";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=36300";"8/21/2013";
"Allamakee CSD-Waterville Bright Beginnings";"115 Main Street";;"Waterville";"IA";52170;;;;" ";" ";"(563) 535-7245";;", ";"Active";"8/22/2011";"Exempt from Licensing";"No";;;;;;;;;;;;"Allamakee";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=36301";"8/21/2013";
"Brenda Timmerman";"609 W Main ST";;"Waukon";"IA";52172;"609 W Main ST";;"Waukon";"IA";52172;"(563) 568-9101";;"Timmerman, Brenda";"Active";"7/1/2019";"Registered Child Development Home B";"Yes";;"Infant/Toddler: 0+Preschool: 0+School Age: 0";12;"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"Infant (up to 24 months)  Hourly/3.00| Infant (up to 24 months)  Hourly/3.00| Infant (up to 24 months)  Hourly/3.00| Infant (up to 36 months)  Hourly/3.00| Infant (up to 36 months)  Hourly/3.00| Infant (up to 36 months)  Hourly/3.00| Preschool (24 to Kindergarten)  Hourly/3.00| Preschool (24 to Kindergarten)  Hourly/3.00| Preschool (24 to Kindergarten)  Hourly/3.00| Preschool (36 to Kindergarten)  Hourly/3.00| Preschool (36 to Kindergarten)  Hourly/3.00| Preschool (36 to Kindergarten)  Hourly/3.00| School Age (K and up)  Hourly/3.00| School Age (K and up)  Hourly/3.00| School Age (K and up)  Hourly/3.00";"Allamakee";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=18340";"6/30/2021";
"Dawn Tyribakken";"2879 North View RD";;"Dorchester";"IA";52140;"2879 North View RD";;"Dorchester";"IA";52140;"(563) 492-3803";;"Tyribakken, Dawn";"Active";"2/1/2020";"Registered Child Development Home B";"Yes";;;12;" 7:00AM -  5:30PM";" 7:00AM -  5:30PM";" 7:00AM -  5:30PM";" 7:00AM -  5:30PM";" 7:00AM -  5:30PM";;;"Infant (up to 24 months)  Hourly/2.50| Infant (up to 24 months)  Hourly/2.50| Infant (up to 36 months)  Hourly/2.50| Infant (up to 36 months)  Hourly/2.50| Preschool (24 to Kindergarten)  Hourly/2.50| Preschool (24 to Kindergarten)  Hourly/2.50| Preschool (36 to Kindergarten)  Hourly/2.50| Preschool (36 to Kindergarten)  Hourly/2.50| School Age (K and up)  Hourly/2.50| School Age (K and up)  Hourly/2.50";"Allamakee";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=18234";"1/31/2022";
"Growing Bear Day Care  Preschool Inc";"526 4th St NW";;"Waukon";"IA";52172;"526 4th St NW";;"Waukon";"IA";52172;"(563) 568-2939";;", ";"Active";"3/1/2019";"Licensed Center";"Yes";5;;81;" 5:00AM -  6:00PM";" 5:00AM -  6:00PM";" 5:00AM -  6:00PM";" 5:00AM -  6:00PM";" 5:00AM -  6:00PM";;;"Infant (up to 24 months)  Half-Day/24.99| Infant (up to 36 months)  Half-Day/24.99| Preschool (24 to Kindergarten)  Half-Day/24.99| Preschool (36 to Kindergarten)  Half-Day/24.99| School Age (K and up)  Half-Day/24.99| School Age (K and up)  Half-Day/24.99";"Allamakee";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=18344";"2/28/2021";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/18344"
"Karen Cota";"2082 Hwy 76 N";;"Waukon";"IA";52172;"2082 Hwy 76 N";;"Waukon";"IA";52172;"(563) 568-5196";;"Cota, Karen";"Active";"8/1/2019";"Registered Child Development Home B";"Yes";3;;12;" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";" 6:00AM -  5:30PM";;"Infant (up to 24 months)  Hourly/3.40| Infant (up to 24 months)  Hourly/3.40| Infant (up to 36 months)  Hourly/3.40| Infant (up to 36 months)  Hourly/3.40| Preschool (24 to Kindergarten)  Hourly/3.40| Preschool (24 to Kindergarten)  Hourly/3.40| Preschool (36 to Kindergarten)  Hourly/3.40| Preschool (36 to Kindergarten)  Hourly/3.40| School Age (K and up)  Hourly/3.40| School Age (K and up)  Hourly/3.40";"Allamakee";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=18346";"7/31/2021";
"Latosha Hurst";"703 2nd AVE NW";;"Waukon";"IA";52172;"703 2nd AVE NW";;"Waukon";"IA";52172;"(563) 422-4292";;"Hurst, Latosha";"Active";"3/6/2019";"Non-Registered Child Care Home";"Yes";;;5;"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"Infant (up to 24 months)  Half-Day/8.19| Infant (up to 36 months)  Half-Day/8.19| Preschool (24 to Kindergarten)  Half-Day/8.19| Preschool (36 to Kindergarten)  Half-Day/8.19| School Age (K and up)  Half-Day/8.19";"Allamakee";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=47289";"2/28/2021";
"Linda Tanner";"471 2nd ST";;"New Albin";"IA";52160;"PO Box 202";;"New Albin";"IA";52160;"(563) 544-4369";;"Tanner, Linda";"Active";"10/1/2019";"Registered Child Development Home B";"Yes";2;;12;" 5:30AM -  6:00PM";" 5:30AM -  6:00PM";" 5:30AM -  6:00PM";" 5:30AM -  6:00PM";" 5:30AM -  6:00PM";" 5:30AM -  6:00PM";" 5:30AM -  6:00PM";"Infant (up to 24 months)  Half-Day/15.00| Infant (up to 24 months)  Half-Day/15.00| Infant (up to 36 months)  Half-Day/15.00| Infant (up to 36 months)  Half-Day/15.00| Preschool (24 to Kindergarten)  Half-Day/15.00| Preschool (24 to Kindergarten)  Half-Day/15.00| Preschool (36 to Kindergarten)  Half-Day/15.00| Preschool (36 to Kindergarten)  Half-Day/15.00| School Age (K and up)  Half-Day/15.00| School Age (K and up)  Half-Day/15.00";"Allamakee";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=18348";"9/30/2021";
"Lisa Murphy";"209 5th ST SE";;"Waukon";"IA";52172;"209 5th ST SE";;"Waukon";"IA";52172;"(563) 794-0690";;"Murphy, Lisa";"Active";"10/7/2020";"Registered Child Development Home B";"Yes";;;12;" 7:15AM -  5:00PM";" 7:15AM -  5:00PM";" 7:15AM -  5:00PM";" 7:15AM -  5:00PM";" 7:15AM -  5:00PM";;;"Infant (up to 24 months)  Hourly/4.00| Infant (up to 24 months)  Hourly/4.00| Infant (up to 36 months)  Hourly/4.00| Infant (up to 36 months)  Hourly/4.00| Preschool (24 to Kindergarten)  Hourly/4.00| Preschool (24 to Kindergarten)  Hourly/4.00| Preschool (36 to Kindergarten)  Hourly/4.00| Preschool (36 to Kindergarten)  Hourly/4.00| School Age (K and up)  Hourly/4.00| School Age (K and up)  Hourly/4.00";"Allamakee";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=45757";"9/30/2022";
"Martha Day";"205 E Main ST";;"Waukon";"IA";52172;"205 E Main ST";;"Waukon";"IA";52172;"(563) 794-1610";;"Day, Martha";"Active";"9/17/2019";"Registered Child Development Home B";"Yes";;"Infant/Toddler: 0+Preschool: 2+School Age: 2";12;" 5:00AM - 10:00PM";" 5:00AM - 10:00PM";" 5:00AM - 10:00PM";" 5:00AM - 10:00PM";" 5:00AM - 10:00PM";" 5:00AM - 10:00PM";" 5:00AM - 10:00PM";"Infant (up to 24 months)  Hourly/3.50| Infant (up to 24 months)  Hourly/3.50| Infant (up to 36 months)  Hourly/3.50| Infant (up to 36 months)  Hourly/3.50| Preschool (24 to Kindergarten)  Hourly/3.50| Preschool (24 to Kindergarten)  Hourly/3.50| Preschool (36 to Kindergarten)  Hourly/3.50| Preschool (36 to Kindergarten)  Hourly/3.50| School Age (K and up)  Hourly/3.50| School Age (K and up)  Hourly/3.50";"Allamakee";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=18345";"8/30/2021";
